epoch,alpha,control_log_std,attr_log_std,n_bodies,n_motors,mass,limb_len_mean,gear_mean,topo,distinct_topologies,top_topology_share,sampled_bodies_mean,pop_motors_mean,pop_motors_max,p_act1,p_act4,design_failed,eval_fall_rate,eval_goal_rate,eval_max_fwd,eval_R_mean,r_fall_return,r_fwd_return
0,1.0,-1.5032765823924432,-2.301235611410517,12,6,0.8124233465268007,0.35970762053337074,149.86446247968067,2b51aea71c11,20,0.05,14.1,5.35,10,1.0,0.8,0,,,,,,
1,0.999615999999017,-1.5083085329180084,-2.3019638134238134,13,8,0.877164189059686,0.3766175533432965,149.70356543208342,49779a2d5445,20,0.05,15.45,6.0,10,1.0,0.95,0,,,,,,
2,0.9992319999980339,-1.51227021790988,-2.3017913387354567,16,8,0.9855534975882813,0.35741983976446023,149.88218657165936,a0344f5cd2f7,20,0.05,16.65,6.85,11,1.0,0.85,0,,,,,,
3,0.9988479999970509,-1.5172553163331313,-2.302946146654605,16,8,0.9857107400473215,0.35771280781417764,149.8684710247628,a0344f5cd2f7,20,0.05,16.1,7.3,10,1.0,1.0,0,,,,,,
4,0.9984639999960678,-1.5193831938647977,-2.303687241268047,21,9,1.1650196208606043,0.33794650695147493,149.25352708973085,eb0308e570d5,20,0.05,16.6,7.15,10,1.0,1.0,0,0.0,0.0,0.15441913034554672,-633.5606097766778,,0.13139283698046983
5,0.9980799999950848,-1.522892299878469,-2.304263523976856,21,9,1.167490707163115,0.3385470770058902,148.89782231540372,eb0308e570d5,20,0.05,17.65,7.95,12,1.0,1.0,0,,,,,,
6,0.9976959999941017,-1.5260358576605806,-2.3048704610904616,21,9,1.1682008343648684,0.339487942027893,149.1506633482159,eb0308e570d5,20,0.05,18.5,8.45,11,1.0,1.0,0,,,,,,
7,0.9973119999931187,-1.5294376379188865,-2.305231974316747,22,10,1.2083031581086943,0.3377168815886758,149.63760184993794,78b1daa09bb7,20,0.05,18.95,8.95,11,1.0,1.0,0,,,,,,
8,0.9969279999921357,-1.5329230852812454,-2.3048215393662708,24,9,1.2880697420387222,0.33401867320473594,148.47145244264365,d46b632b2acb,20,0.05,17.2,8.3,11,1.0,1.0,0,,,,,,
9,0.9965439999911526,-1.5369507200421921,-2.305323957372007,26,11,1.3632649731918591,0.33004553967350764,148.77137086220344,1e2388e67a51,20,0.05,19.4,9.15,12,1.0,1.0,0,0.0,0.0,0.12308422819485698,-655.823712697455,,0.12344032071284558
10,0.9961599999901696,-1.5402345449864105,-2.3062902501362204,25,10,1.3229846551807938,0.3304262695502432,148.49929696399178,25a52c082a79,20,0.05,18.85,9.05,11,1.0,1.0,0,,,,,,
11,0.9957759999891865,-1.5441113860282494,-2.306957789341945,23,10,1.2382622963241388,0.3319910607365145,148.32529909763548,5be1d350ad8c,20,0.05,19.55,9.45,12,1.0,1.0,0,,,,,,
12,0.9953919999882035,-1.5472859793117328,-2.306959684738197,22,9,1.200087725087702,0.3334541710278306,147.6764237579173,371ae5b8660f,20,0.05,19.25,9.4,12,1.0,1.0,0,,,,,,
13,0.9950079999872204,-1.5508549176691029,-2.307146804974488,22,9,1.2017418320515132,0.33439478816721235,147.51222264958358,371ae5b8660f,20,0.05,19.1,9.3,11,1.0,1.0,0,,,,,,
14,0.9946239999862374,-1.5538387851220683,-2.307638369307234,22,9,1.1998218529082236,0.33376598222585957,147.82574143207864,371ae5b8660f,20,0.05,19.15,9.45,12,1.0,1.0,0,0.0,0.0,0.14383031798320767,-662.2855680959123,,-0.03430581525897327
15,0.9942399999852544,-1.5570704568598321,-2.307782019812543,22,9,1.2154119162680848,0.33842019843531795,148.52468365219522,265e6cb54738,20,0.05,17.55,8.65,11,1.0,1.0,0,,,,,,
16,0.9938559999842713,-1.5594007354374972,-2.3074342316783603,21,9,1.175669719673528,0.3417206333623477,149.56371129090815,7965b267a46f,20,0.05,19.25,9.45,12,1.0,1.0,0,,,,,,
17,0.9934719999832883,-1.5610094558587642,-2.307852440190963,20,9,1.1465321007362994,0.34608810845447735,149.31453736096884,3678d91446f8,20,0.05,17.9,8.1,10,1.0,1.0,0,,,,,,
