epoch,alpha,n_bodies,n_motors,mass,limb_len_mean,limb_len_sum,gear_mean,max_depth,topo,distinct_topologies,top_topology_share,sampled_bodies_mean,pop_motors_mean,pop_motors_max,p_act1,p_act4,step_share_act4,design_failed,eval_fall_rate,eval_goal_rate,eval_max_fwd,eval_R_mean,eval_design_fail_rate,r_fall_return,r_fwd_return
0,1.0,13,8,0.8787101739346321,0.3771236166328253,4.525483399593903,150.0,3,49779a2d5445,1,1.0,13.0,8.0,8,1.0,1.0,,0,,,,,,,
1,0.999615999999017,13,8,0.8787101739346321,0.3771236166328253,4.525483399593903,150.0,3,49779a2d5445,1,1.0,13.0,8.0,8,1.0,1.0,,0,,,,,,,
2,0.9992319999980339,13,8,0.8787101739346321,0.3771236166328253,4.525483399593903,150.0,3,49779a2d5445,1,1.0,13.0,8.0,8,1.0,1.0,,0,,,,,,,
3,0.9988479999970509,13,8,0.8787101739346321,0.3771236166328253,4.525483399593903,150.0,3,49779a2d5445,1,1.0,13.0,8.0,8,1.0,1.0,,0,,,,,,,
4,0.9984639999960678,13,8,0.8787101739346321,0.3771236166328253,4.525483399593903,150.0,3,49779a2d5445,1,1.0,13.0,8.0,8,1.0,1.0,,0,0.0,0.0,0.12927457247668675,-682.4618665397915,0.0,,0.20905267114415238
5,0.9980799999950848,13,8,0.8787101739346321,0.3771236166328253,4.525483399593903,150.0,3,49779a2d5445,1,1.0,13.0,8.0,8,1.0,1.0,,0,,,,,,,
6,0.9976959999941017,13,8,0.8787101739346321,0.3771236166328253,4.525483399593903,150.0,3,49779a2d5445,1,1.0,13.0,8.0,8,1.0,1.0,,0,,,,,,,
7,0.9973119999931187,13,8,0.8787101739346321,0.3771236166328253,4.525483399593903,150.0,3,49779a2d5445,1,1.0,13.0,8.0,8,1.0,1.0,,0,,,,,,,
8,0.9969279999921357,13,8,0.8787101739346321,0.3771236166328253,4.525483399593903,150.0,3,49779a2d5445,1,1.0,13.0,8.0,8,1.0,1.0,,0,,,,,,,
9,0.9965439999911526,13,8,0.8787101739346321,0.3771236166328253,4.525483399593903,150.0,3,49779a2d5445,1,1.0,13.0,8.0,8,1.0,1.0,,0,0.2,0.0,0.14209581608302355,-539.592443537695,0.0,0.9862761046113147,-0.15243223129395578
10,0.9961599999901696,13,8,0.8787101739346321,0.3771236166328253,4.525483399593903,150.0,3,49779a2d5445,1,1.0,13.0,8.0,8,1.0,1.0,,0,,,,,,,
11,0.9957759999891865,13,8,0.8787101739346321,0.3771236166328253,4.525483399593903,150.0,3,49779a2d5445,1,1.0,13.0,8.0,8,1.0,1.0,,0,,,,,,,
12,0.9953919999882035,13,8,0.8787101739346321,0.3771236166328253,4.525483399593903,150.0,3,49779a2d5445,1,1.0,13.0,8.0,8,1.0,1.0,,0,,,,,,,
13,0.9950079999872204,13,8,0.8787101739346321,0.3771236166328253,4.525483399593903,150.0,3,49779a2d5445,1,1.0,13.0,8.0,8,1.0,1.0,,0,,,,,,,
14,0.9946239999862374,13,8,0.8787101739346321,0.3771236166328253,4.525483399593903,150.0,3,49779a2d5445,1,1.0,13.0,8.0,8,1.0,1.0,,0,0.5,0.0,0.136110605942575,-198.06431910716134,0.0,0.9951477618087751,-0.07121399866835491
15,0.9942399999852544,13,8,0.8787101739346321,0.3771236166328253,4.525483399593903,150.0,3,49779a2d5445,1,1.0,13.0,8.0,8,1.0,1.0,,0,,,,,,,
16,0.9938559999842713,13,8,0.8787101739346321,0.3771236166328253,4.525483399593903,150.0,3,49779a2d5445,1,1.0,13.0,8.0,8,1.0,1.0,,0,,,,,,,
17,0.9934719999832883,13,8,0.8787101739346321,0.3771236166328253,4.525483399593903,150.0,3,49779a2d5445,1,1.0,13.0,8.0,8,1.0,1.0,,0,,,,,,,
18,0.9930879999823052,13,8,0.8787101739346321,0.3771236166328253,4.525483399593903,150.0,3,49779a2d5445,1,1.0,13.0,8.0,8,1.0,1.0,,0,,,,,,,
19,0.9927039999813222,13,8,0.8787101739346321,0.3771236166328253,4.525483399593903,150.0,3,49779a2d5445,1,1.0,13.0,8.0,8,1.0,1.0,1.0,0,0.0,0.0,0.11726135237927857,-636.9504958223333,0.0,0.9920489764732883,-0.04946938192178815
20,0.9923199999803392,13,8,0.8787101739346321,0.3771236166328253,4.525483399593903,150.0,3,49779a2d5445,1,1.0,13.0,8.0,8,1.0,1.0,,0,,,,,,,
21,0.9919359999793561,13,8,0.8787101739346321,0.3771236166328253,4.525483399593903,150.0,3,49779a2d5445,1,1.0,13.0,8.0,8,1.0,1.0,,0,,,,,,,
22,0.9915519999783731,13,8,0.8787101739346321,0.3771236166328253,4.525483399593903,150.0,3,49779a2d5445,1,1.0,13.0,8.0,8,1.0,1.0,,0,,,,,,,
23,0.9911679999773901,13,8,0.8787101739346321,0.3771236166328253,4.525483399593903,150.0,3,49779a2d5445,1,1.0,13.0,8.0,8,1.0,1.0,,0,,,,,,,
24,0.9907839999764071,13,8,0.8787101739346321,0.3771236166328253,4.525483399593903,150.0,3,49779a2d5445,1,1.0,13.0,8.0,8,1.0,1.0,,0,0.2,0.0,0.07335235213799732,-501.3049313696985,0.0,0.9927700884024372,-0.05537870416281777
25,0.990399999975424,13,8,0.8787101739346321,0.3771236166328253,4.525483399593903,150.0,3,49779a2d5445,1,1.0,13.0,8.0,8,1.0,1.0,,0,,,,,,,
